1kP_Sample,Clade,Family,Species,,,
URDJ,Basalmost angiosperms,Amborellaceae,Amborella trichopoda,,,
WTKZ,Basalmost angiosperms,Nymphaeaceae,Nuphar advena,,,
PZRT,Basalmost angiosperms,Nymphaeaceae,Nymphaea sp.,,,
ROAP,Basalmost angiosperms,Schisandraceae (incl. Illiciac.),Illicium parviflorum,,,
VZCI,Basalmost angiosperms,Schisandraceae (incl. Illiciac.),Illicium floridanum,,,
NWMY,Basalmost angiosperms,Schisandraceae (incl. Illiciac.),Kadsura heteroclita,,,
FZJL,Basalmost angiosperms,Austrobaileyaceae,Austrobaileya scandens,,,
NPND,Basalmost angiosperms,Ceratophyllaceae,Ceratophyllum demersum,,,
DDEV,Magnoliids,Canellaceae,Canella winterana,,,
IFCJ,Magnoliids,Canellaceae,Canella winterana,,,
WKSU,Magnoliids,Winteraceae,Drimys winteri,,,
WAIL,Magnoliids,Atherospermataceae,Laurelia sempervirens,,,
FALI,Magnoliids,Calycanthaceae,Calycanthus floridus,,,
WPHN,Magnoliids,Calycanthaceae,Idiospermum australiense,,,
MAQO,Magnoliids,Gomortegaceae,Gomortega keule,,,
BSVG,Magnoliids,Hernandiaceae,Gyrocarpus americanus,,,
BCGB,Magnoliids,Lauraceae,Cinnamomum camphora,,,
ABSS,Magnoliids,Lauraceae,Sassafras albidum,,,
KAYP,Magnoliids,Lauraceae,Lindera benzoin,,,
WIGA,Magnoliids,Lauraceae,Persea borbonia,,,
VYLQ,Magnoliids,Lauraceae,Cassytha filiformis,,,
KRJP,Magnoliids,Monimiaceae,Peumus boldus,,,
YZRI,Magnoliids,Annonaceae,Annona muricata,,,
PSJT,Magnoliids,Annonaceae,Uvaria microcarpa,,,
DHPO,Magnoliids,Eupomatiaceae,Eupomatia bennettii,,,
XQWC,Magnoliids,Magnoliaceae,Michelia maudiae,,,
WBOD,Magnoliids,Magnoliaceae,Magnolia grandiflora,,,
OBPL,Magnoliids,Myristicaceae,Myristica fragrans,,,
PAWA,Magnoliids,Aristolochiaceae,Aristolochia elegans,,,
QDVW,Magnoliids,Aristolochiaceae,Saruma henryi,,,
MUNP,Magnoliids,Piperaceae,Piper auritum,,,
XSZI,Magnoliids,Piperaceae,Peperomia fraseri,,,
OPDF,Magnoliids,Saururaceae,Saururus cernuus,,,
CSSK,Magnoliids,Saururaceae,Houttuynia cordata,,,
WPYJ,Magnoliids,Frankeniaceae,Frankenia laevis,,,
OSHQ,Chloranthales,Chloranthaceae,Sarcandra glabra,,,
WZFE,Chloranthales,Chloranthaceae,Ascarina rubricaulis,,,
IWMW,Basal Eudicots,Buxaceae,Buxus sempervirens,,,
AALA,Basal Eudicots,Sabiaceae,Meliosma cuneifolia,,,
SWOH,Basal Eudicots,Trochodendraceae,Trochodendron aralioides,,,
FAKD,Basal Eudicots,Nelumbonaceae,Nelumbo sp.,,,
GRRW,Basal Eudicots,Proteaceae,Grevillea robusta,,,
REOF,Basal Eudicots,Proteaceae,Hakea prostrata,,,
OBOJ,Basal Eudicots,Proteaceae,Hakea prostrata,,,
SIIK,Basal Eudicots,Proteaceae,Hakea drupacea,,,
VQFW,Basal Eudicots,Platanaceae,Platanus occidentalis,,,
WFBF,Basal Eudicots,Berberidaceae,Podophyllum peltatum,,,
YHFG,Basal Eudicots,Berberidaceae,Nandina domestica,,,
QTJY,Basal Eudicots,Eupteleaceae,Euptelea pleiosperma,,,
CCID,Basal Eudicots,Lardizabalaceae,Akebia trifoliata,,,
LVNW,Basal Eudicots,Menispermaceae,Cocculus laurifolius,,,
NMGG,Basal Eudicots,Fumariaceae,Hypecoum procumbens,,,
AUGV,Basal Eudicots,Papaveraceae,Capnoides sempervirens,,,
UDHA,Basal Eudicots,Papaveraceae,Ceratocapnos vesicaria,,,
XHKT,Basal Eudicots,Papaveraceae,Sanguinaria canadensis,,,
YDEH,Basal Eudicots,Papaveraceae,Argemone mexicana,,,
GOQJ,Basal Eudicots,Papaveraceae,Argemone mexicana,,,
SMZF,Basal Eudicots,Papaveraceae,Argemone mexicana,,,
CCHG,Basal Eudicots,Papaveraceae,Argemone mexicana,,,
BFMT,Basal Eudicots,Papaveraceae,Argemone mexicana,,,
UNPT,Basal Eudicots,Papaveraceae,Eschscholzia californica,,,
NJKC,Basal Eudicots,Papaveraceae,Eschscholzia californica,,,
RKGT,Basal Eudicots,Papaveraceae,Eschscholzia californica,,,
TUHA,Basal Eudicots,Papaveraceae,Eschscholzia californica,,,
ERXG,Basal Eudicots,Papaveraceae,Eschscholzia californica,,,
RRID,Basal Eudicots,Papaveraceae,Papaver bracteatum,,,
TMWO,Basal Eudicots,Papaveraceae,Papaver bracteatum,,,
ZSNV,Basal Eudicots,Papaveraceae,Papaver bracteatum,,,
ACYX,Basal Eudicots,Papaveraceae,Papaver rhoeas,,,
GMAM,Basal Eudicots,Papaveraceae,Papaver rhoeas,,,
QZBA,Basal Eudicots,Papaveraceae,Papaver rhoeas,,,
IORZ,Basal Eudicots,Papaveraceae,Papaver rhoeas,,,
MVTX,Basal Eudicots,Papaveraceae,Papaver rhoeas,,,
FNXH,Basal Eudicots,Papaveraceae,Papaver setigerum,,,
