#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
14648                -          input_alignment      -                  0 1372.7  14.9         0 1372.5  14.9   1.0   1   0   0   1   1   1   1 -
15664                -          input_alignment      -                  0 1028.2  23.2         0 1020.4  23.2   2.0   1   1   0   1   1   1   1 -
17508                -          input_alignment      -           1.7e-302 1006.1  15.9  1.4e-272  907.0   4.3   2.0   1   1   1   2   2   2   2 -
17981                -          input_alignment      -           8.6e-292  970.7  10.2  9.8e-292  970.5  10.2   1.0   1   0   0   1   1   1   1 -
17193                -          input_alignment      -           4.9e-284  945.0   1.7    9e-284  944.1   1.7   1.7   1   1   0   1   1   1   1 -
83694                -          input_alignment      -           4.4e-259  862.4   5.9  9.2e-259  861.3   5.9   1.9   1   1   0   1   1   1   1 -
12506                -          input_alignment      -             1e-242  808.2  30.4  1.1e-242  808.1  30.4   1.0   1   0   0   1   1   1   1 -
83206                -          input_alignment      -           4.2e-241  802.9   2.2  4.8e-241  802.7   2.2   1.0   1   0   0   1   1   1   1 -
12505                -          input_alignment      -             9e-241  801.8  30.8    1e-240  801.6  30.8   1.0   1   0   0   1   1   1   1 -
83261                -          input_alignment      -           8.9e-239  795.2   0.2  1.1e-238  794.8   0.2   1.0   1   0   0   1   1   1   1 -
11434                -          input_alignment      -           2.2e-214  714.4   0.1  2.5e-214  714.3   0.1   1.0   1   0   0   1   1   1   1 -
17763                -          input_alignment      -           1.5e-210  701.8   1.0  1.8e-210  701.5   1.0   1.0   1   0   0   1   1   1   1 -
16700                -          input_alignment      -           8.5e-192  639.7  13.4  7.2e-155  517.4   0.5   2.0   1   1   1   2   2   2   2 -
6842                 -          input_alignment      -           1.4e-188  629.0  28.9  2.4e-100  336.9   0.0   4.0   1   1   3   4   4   4   4 -
12403                -          input_alignment      -           2.9e-184  614.7  47.8   1.3e-68  231.9   0.0   4.9   2   1   3   5   5   5   5 -
13923                -          input_alignment      -           1.2e-179  599.4  31.3  1.2e-109  367.7   8.0   6.3   2   2   1   3   3   3   3 -
82992                -          input_alignment      -           5.3e-175  584.1  10.7  1.4e-173  579.3  10.7   2.0   1   1   0   1   1   1   1 -
13924                -          input_alignment      -           9.6e-172  573.3  37.8  5.3e-101  339.1  14.4   7.1   2   2   1   3   3   3   3 -
82907                -          input_alignment      -           1.6e-166  556.0  19.0  2.3e-117  393.2   0.4   2.0   1   1   1   2   2   2   2 -
15760                -          input_alignment      -           3.4e-155  518.5   0.0  3.8e-155  518.3   0.0   1.0   1   0   0   1   1   1   1 -
15022                -          input_alignment      -           8.9e-153  510.5  43.9   1.2e-69  235.3   9.3   4.0   1   1   3   4   4   4   4 -
6167                 -          input_alignment      -           9.8e-151  503.7   0.2  1.1e-150  503.6   0.2   1.0   1   0   0   1   1   1   1 -
14098                -          input_alignment      -           1.2e-147  493.5  50.2   4.1e-59  200.4  24.1   5.8   2   1   1   4   4   4   4 -
15676                -          input_alignment      -           8.5e-144  480.8   8.1   2.2e-84  284.1   0.0   2.0   2   0   0   2   2   2   2 -
6168                 -          input_alignment      -             1e-143  480.5   0.1  1.1e-143  480.4   0.1   1.0   1   0   0   1   1   1   1 -
81150                -          input_alignment      -           1.2e-142  477.0   6.5  2.7e-113  379.8   0.2   2.0   1   1   1   2   2   2   2 -
15023                -          input_alignment      -           1.2e-139  467.0  41.3   1.1e-69  235.5   9.5   3.9   1   1   3   4   4   4   4 -
82136                -          input_alignment      -           1.1e-137  460.6   0.0  1.2e-137  460.4   0.0   1.0   1   0   0   1   1   1   1 -
3682                 -          input_alignment      -           2.3e-137  459.5  15.3  5.2e-101  339.1   0.6   2.9   2   1   0   2   2   2   2 -
16629                -          input_alignment      -             6e-137  458.1   7.7   1.2e-96  324.7   0.0   2.1   1   1   1   2   2   2   2 -
3853                 -          input_alignment      -           9.5e-135  450.8   0.1  1.1e-134  450.6   0.1   1.0   1   0   0   1   1   1   1 -
2872                 -          input_alignment      -           1.8e-132  443.3  12.7   4.8e-78  263.1   0.0   3.7   2   1   1   3   3   3   3 -
7917                 -          input_alignment      -           4.7e-130  435.3  43.4   3.5e-44  151.0   7.8   5.8   2   1   2   4   4   4   4 -
