#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Pkinase              PF00069.24 URDJ_3999            -            2.8e-42  144.8   0.0   4.2e-42  144.2   0.0   1.2   1   0   0   1   1   1   1 Protein kinase domain
Pkinase_Tyr          PF07714.16 URDJ_3999            -            4.5e-40  137.5   0.0   6.4e-40  137.0   0.0   1.2   1   0   0   1   1   1   1 Protein tyrosine kinase
LRR_8                PF13855.5  URDJ_3999            -            3.9e-29  100.1  57.0   2.3e-07   30.4   2.0   9.0   6   3   3  10  10   2   2 Leucine rich repeat
LRR_4                PF12799.6  URDJ_3999            -            1.9e-19   69.3  57.3    0.0013   18.9   1.4  11.6   7   3   6  14  14   0   0 Leucine Rich repeats (2 copies)
LRR_1                PF00560.32 URDJ_3999            -            2.4e-10   39.3  52.1      0.46   11.1   0.4  15.4  16   3   0  16  16   2   2 Leucine Rich Repeat
LRRNT_2              PF08263.11 URDJ_3999            -            3.8e-09   36.6   1.5   3.8e-09   36.6   1.5   2.1   2   0   0   2   2   1   1 Leucine rich repeat N-terminal domain
Pkinase              PF00069.24 URDJ_38212           -            2.3e-43  148.3   0.0   3.2e-43  147.9   0.0   1.1   1   0   0   1   1   1   1 Protein kinase domain
Pkinase_Tyr          PF07714.16 URDJ_38212           -            1.2e-39  136.0   0.0   1.7e-39  135.6   0.0   1.2   1   0   0   1   1   1   1 Protein tyrosine kinase
LRR_8                PF13855.5  URDJ_38212           -            1.2e-34  117.7  61.6   5.4e-08   32.4   6.8   9.2   4   3   3   9   9   2   2 Leucine rich repeat
LRR_4                PF12799.6  URDJ_38212           -            5.1e-30  102.8  52.8   2.5e-05   24.4   2.6  11.6   8   3   3  12  12   0   0 Leucine Rich repeats (2 copies)
LRRNT_2              PF08263.11 URDJ_38212           -            5.9e-11   42.4   0.1   1.2e-10   41.4   0.1   1.6   1   0   0   1   1   1   1 Leucine rich repeat N-terminal domain
LRR_1                PF00560.32 URDJ_38212           -            5.5e-05   23.0  66.4       2.7    8.8   0.5  16.9  20   1   0  20  20   0   0 Leucine Rich Repeat
Pkinase              PF00069.24 WTKZ_10280           -            8.4e-44  149.8   0.0   1.3e-43  149.2   0.0   1.2   1   0   0   1   1   1   1 Protein kinase domain
Pkinase_Tyr          PF07714.16 WTKZ_10280           -            2.3e-37  128.6   0.0   3.2e-37  128.1   0.0   1.2   1   0   0   1   1   1   1 Protein tyrosine kinase
LRR_8                PF13855.5  WTKZ_10280           -            2.6e-14   52.6  31.5   0.00028   20.5   4.0   6.5   3   2   2   6   6   0   0 Leucine rich repeat
LRR_4                PF12799.6  WTKZ_10280           -            2.3e-10   40.4  36.4    0.0042   17.4   1.7   7.2   3   2   3   8   8   0   0 Leucine Rich repeats (2 copies)
LRR_1                PF00560.32 WTKZ_10280           -            0.00027   20.9  36.4       4.9    7.9   0.1  11.2  11   1   1  12  12   0   0 Leucine Rich Repeat
Pkinase              PF00069.24 WTKZ_5253            -            6.6e-46  156.7   0.0   9.3e-46  156.2   0.0   1.2   1   0   0   1   1   1   1 Protein kinase domain
Pkinase_Tyr          PF07714.16 WTKZ_5253            -            3.1e-41  141.3   0.0   4.5e-41  140.7   0.0   1.2   1   0   0   1   1   1   1 Protein tyrosine kinase
LRR_8                PF13855.5  WTKZ_5253            -            1.4e-08   34.2   7.8   3.3e-08   33.1   7.8   1.7   1   0   0   1   1   1   1 Leucine rich repeat
LRR_4                PF12799.6  WTKZ_5253            -            2.7e-06   27.5   9.0   0.00011   22.3   0.8   2.6   2   0   0   2   2   0   0 Leucine Rich repeats (2 copies)
Pkinase              PF00069.24 PZRT_2184            -            1.9e-44  151.9   0.0   2.6e-44  151.5   0.0   1.1   1   0   0   1   1   1   1 Protein kinase domain
Pkinase_Tyr          PF07714.16 PZRT_2184            -              1e-40  139.6   0.0   2.8e-40  138.1   0.0   1.7   2   0   0   2   2   1   1 Protein tyrosine kinase
LRR_8                PF13855.5  PZRT_2184            -            3.1e-38  129.3  58.8   4.4e-11   42.3   6.0   8.4   4   3   4   9   9   3   3 Leucine rich repeat
LRR_4                PF12799.6  PZRT_2184            -            3.7e-27   93.7  60.9   2.2e-06   27.8   2.8  11.3   7   4   5  12  12   1   1 Leucine Rich repeats (2 copies)
LRR_1                PF00560.32 PZRT_2184            -            3.1e-14   51.1  57.1      0.19   12.2   0.0  15.2  15   0   0  15  15   2   2 Leucine Rich Repeat
LRRNT_2              PF08263.11 PZRT_2184            -            7.7e-12   45.2   1.1   7.7e-12   45.2   1.1   2.2   2   0   0   2   2   1   1 Leucine rich repeat N-terminal domain
Pkinase              PF00069.24 PZRT_2185            -            1.9e-44  151.9   0.0   2.6e-44  151.5   0.0   1.1   1   0   0   1   1   1   1 Protein kinase domain
Pkinase_Tyr          PF07714.16 PZRT_2185            -              1e-40  139.6   0.0   2.8e-40  138.1   0.0   1.7   2   0   0   2   2   1   1 Protein tyrosine kinase
LRR_8                PF13855.5  PZRT_2185            -            3.1e-38  129.3  58.8   4.4e-11   42.3   6.0   8.4   4   3   4   9   9   3   3 Leucine rich repeat
LRR_4                PF12799.6  PZRT_2185            -            3.7e-27   93.7  60.9   2.2e-06   27.8   2.8  11.3   7   4   5  12  12   1   1 Leucine Rich repeats (2 copies)
LRR_1                PF00560.32 PZRT_2185            -            3.1e-14   51.1  57.1      0.19   12.2   0.0  15.2  15   0   0  15  15   2   2 Leucine Rich Repeat
LRRNT_2              PF08263.11 PZRT_2185            -            7.7e-12   45.2   1.1   7.7e-12   45.2   1.1   2.2   2   0   0   2   2   1   1 Leucine rich repeat N-terminal domain
Pkinase_Tyr          PF07714.16 ROAP_2130            -            4.1e-38  131.1   0.0   5.8e-38  130.6   0.0   1.3   1   0   0   1   1   1   1 Protein tyrosine kinase
